Date,State,Total,Category,Sales
2019-01-12,Alabama,109574036.0,Beverages,109574036.0
2019-01-13,Alabama,109619123.37586206,,109619123.37586206
2019-01-14,Alabama,109664210.75172414,,109664210.75172414
2019-01-15,Alabama,109709298.1275862,,109709298.1275862
2019-01-16,Alabama,109754385.50344828,,109754385.50344828
2019-01-17,Alabama,109799472.87931034,,109799472.87931034
2019-01-18,Alabama,109844560.25517242,,109844560.25517242
2019-01-19,Alabama,109889647.63103448,,109889647.63103448
2019-01-20,Alabama,109934735.00689656,,109934735.00689656
2019-01-21,Alabama,109979822.38275862,,109979822.38275862
2019-01-22,Alabama,110024909.7586207,,110024909.7586207
2019-01-23,Alabama,110069997.13448276,,110069997.13448276
2019-01-24,Alabama,110115084.51034483,,110115084.51034483
2019-01-25,Alabama,110160171.8862069,,110160171.8862069
2019-01-26,Alabama,110205259.26206897,,110205259.26206897
2019-01-27,Alabama,110250346.63793103,,110250346.63793103
2019-01-28,Alabama,110295434.0137931,,110295434.0137931
2019-01-29,Alabama,110340521.38965517,,110340521.38965517
2019-01-30,Alabama,110385608.76551723,,110385608.76551723
2019-01-31,Alabama,110430696.14137931,,110430696.14137931
2019-02-01,Alabama,110475783.51724137,,110475783.51724137
2019-02-02,Alabama,110520870.89310345,,110520870.89310345
2019-02-03,Alabama,110565958.26896551,,110565958.26896551
2019-02-04,Alabama,110611045.64482759,,110611045.64482759
2019-02-05,Alabama,110656133.02068965,,110656133.02068965
2019-02-06,Alabama,110701220.39655173,,110701220.39655173
2019-02-07,Alabama,110746307.77241379,,110746307.77241379
2019-02-08,Alabama,110791395.14827587,,110791395.14827587
2019-02-09,Alabama,110836482.52413793,,110836482.52413793
2019-02-10,Alabama,110881569.9,,110881569.9
2019-02-11,Alabama,110926657.27586207,,110926657.27586207
2019-02-12,Alabama,110971744.65172413,,110971744.65172413
2019-02-13,Alabama,111016832.0275862,,111016832.0275862
2019-02-14,Alabama,111061919.40344827,,111061919.40344827
2019-02-15,Alabama,111107006.77931035,,111107006.77931035
2019-02-16,Alabama,111152094.15517241,,111152094.15517241
2019-02-17,Alabama,111197181.53103448,,111197181.53103448
2019-02-18,Alabama,111242268.90689655,,111242268.90689655
2019-02-19,Alabama,111287356.28275862,,111287356.28275862
2019-02-20,Alabama,111332443.65862069,,111332443.65862069
2019-02-21,Alabama,111377531.03448276,,111377531.03448276
2019-02-22,Alabama,111422618.41034482,,111422618.41034482
2019-02-23,Alabama,111467705.7862069,,111467705.7862069
2019-02-24,Alabama,111512793.16206896,,111512793.16206896
2019-02-25,Alabama,111557880.53793103,,111557880.53793103
2019-02-26,Alabama,111602967.9137931,,111602967.9137931
2019-02-27,Alabama,111648055.28965516,,111648055.28965516
2019-02-28,Alabama,111693142.66551724,,111693142.66551724
2019-03-01,Alabama,111738230.0413793,,111738230.0413793
2019-03-02,Alabama,111783317.41724138,,111783317.41724138
2019-03-03,Alabama,111828404.79310344,,111828404.79310344
2019-03-04,Alabama,111873492.16896552,,111873492.16896552
2019-03-05,Alabama,111918579.54482758,,111918579.54482758
2019-03-06,Alabama,111963666.92068966,,111963666.92068966
2019-03-07,Alabama,112008754.29655172,,112008754.29655172
2019-03-08,Alabama,112053841.6724138,,112053841.6724138
2019-03-09,Alabama,112098929.04827586,,112098929.04827586
2019-03-10,Alabama,112144016.42413794,,112144016.42413794
2019-03-11,Alabama,112189103.8,Beverages,112189103.8
2019-03-12,Alabama,112375011.78461538,,112375011.78461538
2019-03-13,Alabama,112560919.76923077,,112560919.76923077
2019-03-14,Alabama,112746827.75384615,,112746827.75384615
2019-03-15,Alabama,112932735.73846154,,112932735.73846154
2019-03-16,Alabama,113118643.72307692,,113118643.72307692
2019-03-17,Alabama,113304551.70769231,,113304551.70769231
2019-03-18,Alabama,113490459.6923077,,113490459.6923077
2019-03-19,Alabama,113676367.67692308,,113676367.67692308
2019-03-20,Alabama,113862275.66153845,,113862275.66153845
2019-03-21,Alabama,114048183.64615384,,114048183.64615384
2019-03-22,Alabama,114234091.63076922,,114234091.63076922
2019-03-23,Alabama,114419999.61538461,,114419999.61538461
2019-03-24,Alabama,114605907.6,,114605907.6
2019-03-25,Alabama,114791815.58461538,,114791815.58461538
2019-03-26,Alabama,114977723.56923077,,114977723.56923077
2019-03-27,Alabama,115163631.55384615,,115163631.55384615
2019-03-28,Alabama,115349539.53846154,,115349539.53846154
2019-03-29,Alabama,115535447.52307692,,115535447.52307692
2019-03-30,Alabama,115721355.5076923,,115721355.5076923
2019-03-31,Alabama,115907263.4923077,,115907263.4923077
2019-04-01,Alabama,116093171.47692308,,116093171.47692308
2019-04-02,Alabama,116279079.46153846,,116279079.46153846
2019-04-03,Alabama,116464987.44615385,,116464987.44615385
2019-04-04,Alabama,116650895.43076923,,116650895.43076923
2019-04-05,Alabama,116836803.41538462,,116836803.41538462
2019-04-06,Alabama,117022711.4,,117022711.4
2019-04-07,Alabama,117208619.38461539,,117208619.38461539
2019-04-08,Alabama,117394527.36923078,,117394527.36923078
2019-04-09,Alabama,117580435.35384615,,117580435.35384615
2019-04-10,Alabama,117766343.33846153,,117766343.33846153
2019-04-11,Alabama,117952251.32307692,,117952251.32307692
2019-04-12,Alabama,118138159.3076923,,118138159.3076923
2019-04-13,Alabama,118324067.29230769,,118324067.29230769
2019-04-14,Alabama,118509975.27692308,,118509975.27692308
2019-04-15,Alabama,118695883.26153846,,118695883.26153846
2019-04-16,Alabama,118881791.24615385,,118881791.24615385
2019-04-17,Alabama,119067699.23076923,,119067699.23076923
2019-04-18,Alabama,119253607.21538462,,119253607.21538462
2019-04-19,Alabama,119439515.2,,119439515.2
2019-04-20,Alabama,119625423.18461539,,119625423.18461539
2019-04-21,Alabama,119811331.16923077,,119811331.16923077
2019-04-22,Alabama,119997239.15384616,,119997239.15384616
2019-04-23,Alabama,120183147.13846155,,120183147.13846155
2019-04-24,Alabama,120369055.12307693,,120369055.12307693
2019-04-25,Alabama,120554963.10769232,,120554963.10769232
2019-04-26,Alabama,120740871.09230769,,120740871.09230769
2019-04-27,Alabama,120926779.07692307,,120926779.07692307
2019-04-28,Alabama,121112687.06153846,,121112687.06153846
2019-04-29,Alabama,121298595.04615384,,121298595.04615384
2019-04-30,Alabama,121484503.03076923,,121484503.03076923
2019-05-01,Alabama,121670411.01538461,,121670411.01538461
2019-05-02,Alabama,121856319.0,,121856319.0
2019-05-03,Alabama,122042226.98461539,,122042226.98461539
2019-05-04,Alabama,122228134.96923077,,122228134.96923077
2019-05-05,Alabama,122414042.95384616,,122414042.95384616
2019-05-06,Alabama,122599950.93846154,,122599950.93846154
2019-05-07,Alabama,122785858.92307693,,122785858.92307693
2019-05-08,Alabama,122971766.90769231,,122971766.90769231
2019-05-09,Alabama,123157674.8923077,,123157674.8923077
2019-05-10,Alabama,123343582.87692308,,123343582.87692308
2019-05-11,Alabama,123529490.86153847,,123529490.86153847
2019-05-12,Alabama,123715398.84615386,,123715398.84615386
2019-05-13,Alabama,123901306.83076924,,123901306.83076924
2019-05-14,Alabama,124087214.81538463,,124087214.81538463
2019-05-15,Alabama,124273122.80000001,,124273122.80000001
2019-05-16,Alabama,124459030.78461538,,124459030.78461538
2019-05-17,Alabama,124644938.76923077,,124644938.76923077
2019-05-18,Alabama,124830846.75384615,,124830846.75384615
2019-05-19,Alabama,125016754.73846154,,125016754.73846154
2019-05-20,Alabama,125202662.72307692,,125202662.72307692
2019-05-21,Alabama,125388570.70769231,,125388570.70769231
2019-05-22,Alabama,125574478.6923077,,125574478.6923077
2019-05-23,Alabama,125760386.67692308,,125760386.67692308
2019-05-24,Alabama,125946294.66153847,,125946294.66153847
2019-05-25,Alabama,126132202.64615385,,126132202.64615385
2019-05-26,Alabama,126318110.63076924,,126318110.63076924
2019-05-27,Alabama,126504018.61538462,,126504018.61538462
2019-05-28,Alabama,126689926.60000001,,126689926.60000001
2019-05-29,Alabama,126875834.5846154,,126875834.5846154
2019-05-30,Alabama,127061742.56923078,,127061742.56923078
2019-05-31,Alabama,127247650.55384617,,127247650.55384617
2019-06-01,Alabama,127433558.53846154,,127433558.53846154
2019-06-02,Alabama,127619466.52307692,,127619466.52307692
2019-06-03,Alabama,127805374.5076923,,127805374.5076923
2019-06-04,Alabama,127991282.4923077,,127991282.4923077
2019-06-05,Alabama,128177190.47692308,,128177190.47692308
2019-06-06,Alabama,128363098.46153846,,128363098.46153846
2019-06-07,Alabama,128549006.44615385,,128549006.44615385
2019-06-08,Alabama,128734914.43076923,,128734914.43076923
2019-06-09,Alabama,128920822.41538462,,128920822.41538462
2019-06-10,Alabama,129106730.4,Beverages,129106730.4
2019-06-11,Alabama,128773031.88253969,,128773031.88253969
2019-06-12,Alabama,128439333.36507937,,128439333.36507937
2019-06-13,Alabama,128105634.84761906,,128105634.84761906
2019-06-14,Alabama,127771936.33015874,,127771936.33015874
2019-06-15,Alabama,127438237.81269842,,127438237.81269842
2019-06-16,Alabama,127104539.2952381,,127104539.2952381
2019-06-17,Alabama,126770840.77777778,,126770840.77777778
2019-06-18,Alabama,126437142.26031746,,126437142.26031746
2019-06-19,Alabama,126103443.74285714,,126103443.74285714
2019-06-20,Alabama,125769745.22539683,,125769745.22539683
2019-06-21,Alabama,125436046.70793651,,125436046.70793651
2019-06-22,Alabama,125102348.1904762,,125102348.1904762
2019-06-23,Alabama,124768649.67301588,,124768649.67301588
2019-06-24,Alabama,124434951.15555556,,124434951.15555556
2019-06-25,Alabama,124101252.63809524,,124101252.63809524
2019-06-26,Alabama,123767554.12063493,,123767554.12063493
2019-06-27,Alabama,123433855.60317461,,123433855.60317461
2019-06-28,Alabama,123100157.0857143,,123100157.0857143
2019-06-29,Alabama,122766458.56825396,,122766458.56825396
2019-06-30,Alabama,122432760.05079365,,122432760.05079365
2019-07-01,Alabama,122099061.53333333,,122099061.53333333
2019-07-02,Alabama,121765363.01587301,,121765363.01587301
2019-07-03,Alabama,121431664.4984127,,121431664.4984127
