Date,day_of_week,month,quarter,week_of_year,year,lag_1,lag_7,lag_30,rolling_mean_7,rolling_mean_30,rolling_std_7,is_holiday,Forecasted_Sales
2023-12-04,0,12,4,49,2023,20510613.7,20556329.78988764,20731574.8011236,20733291.046388444,20661877.25385768,538908.7524494265,0,2.0382516e+07
2023-12-05,1,12,4,49,2023,20510613.7,20556329.78988764,20731574.8011236,20733291.046388444,20661877.25385768,538908.7524494265,0,2.0318672e+07
2023-12-06,2,12,4,49,2023,20510613.7,20556329.78988764,20731574.8011236,20733291.046388444,20661877.25385768,538908.7524494265,0,2.052262e+07
2023-12-07,3,12,4,49,2023,20510613.7,20556329.78988764,20731574.8011236,20733291.046388444,20661877.25385768,538908.7524494265,0,1.9976326e+07
2023-12-08,4,12,4,49,2023,20510613.7,20556329.78988764,20731574.8011236,20733291.046388444,20661877.25385768,538908.7524494265,0,2.0652912e+07
2023-12-09,5,12,4,49,2023,20510613.7,20556329.78988764,20731574.8011236,20733291.046388444,20661877.25385768,538908.7524494265,0,2.0507302e+07
2023-12-10,6,12,4,49,2023,20510613.7,20556329.78988764,20731574.8011236,20733291.046388444,20661877.25385768,538908.7524494265,0,2.099941e+07
2023-12-11,0,12,4,50,2023,20510613.7,20556329.78988764,20731574.8011236,20733291.046388444,20661877.25385768,538908.7524494265,0,2.0475636e+07
2023-12-12,1,12,4,50,2023,20510613.7,20556329.78988764,20731574.8011236,20733291.046388444,20661877.25385768,538908.7524494265,0,2.0203692e+07
2023-12-13,2,12,4,50,2023,20510613.7,20556329.78988764,20731574.8011236,20733291.046388444,20661877.25385768,538908.7524494265,0,2.040764e+07
2023-12-14,3,12,4,50,2023,20510613.7,20556329.78988764,20731574.8011236,20733291.046388444,20661877.25385768,538908.7524494265,0,1.9861346e+07
2023-12-15,4,12,4,50,2023,20510613.7,20556329.78988764,20731574.8011236,20733291.046388444,20661877.25385768,538908.7524494265,0,2.0543992e+07
2023-12-16,5,12,4,50,2023,20510613.7,20556329.78988764,20731574.8011236,20733291.046388444,20661877.25385768,538908.7524494265,0,2.0543992e+07
2023-12-17,6,12,4,50,2023,20510613.7,20556329.78988764,20731574.8011236,20733291.046388444,20661877.25385768,538908.7524494265,0,2.0579816e+07
2023-12-18,0,12,4,51,2023,20510613.7,20556329.78988764,20731574.8011236,20733291.046388444,20661877.25385768,538908.7524494265,0,2.0475636e+07
2023-12-19,1,12,4,51,2023,20510613.7,20556329.78988764,20731574.8011236,20733291.046388444,20661877.25385768,538908.7524494265,0,2.0203692e+07
2023-12-20,2,12,4,51,2023,20510613.7,20556329.78988764,20731574.8011236,20733291.046388444,20661877.25385768,538908.7524494265,0,2.040764e+07
2023-12-21,3,12,4,51,2023,20510613.7,20556329.78988764,20731574.8011236,20733291.046388444,20661877.25385768,538908.7524494265,0,1.9861346e+07
2023-12-22,4,12,4,51,2023,20510613.7,20556329.78988764,20731574.8011236,20733291.046388444,20661877.25385768,538908.7524494265,0,2.0543992e+07
2023-12-23,5,12,4,51,2023,20510613.7,20556329.78988764,20731574.8011236,20733291.046388444,20661877.25385768,538908.7524494265,0,2.0543992e+07
